Time,GGALT,GGLON,GGLAT,CONCD_RWIO
108763,1531.1095,148.29071,-43.589844,0.0
108764,1531.2361,148.29173,-43.589367,0.0
108765,1531.3002,148.29279,-43.58891,0.0
108766,1531.2784,148.29384,-43.588474,0.0
108767,1531.192,148.29492,-43.58806,0.0
108768,1531.0538,148.296,-43.587666,0.0
108769,1530.8912,148.2971,-43.58729,0.0
108770,1530.7246,148.29822,-43.58694,0.0
108771,1530.5588,148.29935,-43.58661,0.0
108772,1530.427,148.30049,-43.5863,0.0
108773,1530.3574,148.30164,-43.586014,0.0
108774,1530.3544,148.30278,-43.58575,0.0
108775,1530.3905,148.30396,-43.585506,0.0
108776,1530.477,148.30511,-43.585285,0.0
108777,1530.649,148.3063,-43.58508,0.0
108778,1530.9059,148.30748,-43.584885,0.0
108779,1531.2225,148.30865,-43.5847,0.0
108780,1531.5408,148.30984,-43.584522,0.0
108781,1531.7809,148.31102,-43.584343,0.0
108782,1531.8672,148.31221,-43.584156,0.0
108783,1531.7856,148.31339,-43.58396,0.0
108784,1531.5286,148.31456,-43.58375,0.0
108785,1531.0635,148.31573,-43.583527,0.0
108786,1530.3608,148.3169,-43.58328,0.0
108787,1529.4626,148.31804,-43.583,0.0
108788,1528.4764,148.31918,-43.582695,0.0
108789,1527.5394,148.32031,-43.58235,0.0
108790,1526.7714,148.32141,-43.581974,0.0
108791,1526.2178,148.3225,-43.58156,0.0
108792,1525.9265,148.32355,-43.581104,0.0
108793,1525.8964,148.32457,-43.580616,0.0
108794,1526.1233,148.32556,-43.580093,0.0
108795,1526.5317,148.32652,-43.57954,0.0
108796,1527.127,148.32744,-43.578953,0.0
108797,1527.823,148.32834,-43.578335,0.0
108798,1528.6521,148.32918,-43.57769,0.0
108799,1529.5685,148.33,-43.577015,0.0
108800,1530.5017,148.33076,-43.576317,0.0
108801,1531.3951,148.3315,-43.575592,0.0
108802,1532.2253,148.33218,-43.574844,0.0
108803,1532.9518,148.33282,-43.574074,0.0
108804,1533.5295,148.33342,-43.573284,0.0
108805,1533.9507,148.33397,-43.57247,0.0
108806,1534.1993,148.33447,-43.571644,0.0
108807,1534.307,148.33493,-43.5708,0.0
108808,1534.2775,148.33533,-43.569942,0.0
108809,1534.1123,148.3357,-43.569073,0.0
108810,1533.8208,148.336,-43.568188,0.0
108811,1533.4376,148.33624,-43.567295,0.0
108812,1532.991,148.33644,-43.566395,0.0
108813,1532.5181,148.3366,-43.565487,0.0
108814,1532.0459,148.33669,-43.564575,0.0
108815,1531.5868,148.33672,-43.56366,0.0
108816,1531.1606,148.3367,-43.562744,0.0
108817,1530.794,148.33662,-43.56183,0.0
108818,1530.4731,148.3365,-43.560917,0.0
108819,1530.1935,148.33632,-43.56001,0.0
108820,1529.9645,148.33609,-43.559105,0.0
108821,1529.8027,148.3358,-43.558212,0.0
108822,1529.717,148.33546,-43.557327,0.0
108823,1529.7214,148.33507,-43.556454,0.0
108824,1529.8168,148.33464,-43.55559,0.0
108825,1529.9583,148.33415,-43.554745,0.0
108826,1530.0994,148.33362,-43.55391,0.0
108827,1530.2444,148.33304,-43.553093,0.0
108828,1530.3453,148.33241,-43.55229,0.0
108829,1530.5875,148.33174,-43.551506,0.0
